Nº de referencia,Asociación de tabla,Clave ajena,Desactivado,Descripción,Fecha de creación,Fecha de última actualización,ID de archivo anexo,Índice de palabras clave,Nombre,Nombre de archivo de usuario ,Nombre de archivo local,Privado,Secuencia,Tamaño,Tipo,Tipo de contenido
160711-000145,Incidentes,1319,,,'2016-07-13 15:53:38','2016-07-13 15:53:38',2238,,,Clausulas - KBK316.pdf,0713/1146843601816690-Yu3TuJ,,,121836,,application/pdf
160711-000145,Incidentes,1319,,,'2016-07-13 15:53:38','2016-07-13 15:53:38',2239,,,Clausulas Generales - KBK316.pdf,0713/2146843601816690-PXHNht,,,78680,,application/pdf
160711-000145,Incidentes,1319,,,'2016-07-13 15:53:38','2016-07-13 15:53:38',2240,,,Mercosur - KBK316.pdf,0713/3146843601816690-z9whPe,,,73245,,application/pdf
160711-000145,Incidentes,1319,,,'2016-07-13 15:53:38','2016-07-13 15:53:38',2241,,,Poliza - KBK316.pdf,0713/4146843601816690-jOaTy1,,,75035,,application/pdf
160711-000146,Incidentes,1320,,,'2016-07-11 21:15:47','2016-07-11 21:15:47',1879,,,raw_message.mht,0711/014682825486196-QKVpK8,,,17549,,text/html
160711-000147,Incidentes,1321,,,'2016-07-11 21:30:47','2016-07-11 21:30:47',1880,,,raw_message.mht,0711/0146828344827936-mEEHSp,,,46796,,text/html
160711-000148,Incidentes,1322,,,'2016-07-11 21:45:46','2016-07-11 21:45:46',1881,,,raw_message.mht,0711/0146828434710675-BXTldV,,,15849,,text/html
160711-000149,Incidentes,1323,,,'2016-07-11 22:30:47','2016-07-11 22:30:47',1882,,,raw_message.mht,0711/0146828704813061-V3iIb5,,,15842,,text/html
160711-000150,Incidentes,1324,,,'2016-07-11 23:15:48','2016-07-11 23:15:48',1883,,,raw_message.mht,0711/014682897485163-Vs3yyu,,,10295,,text/html
160712-000000,Incidentes,1325,,,'2016-07-12 03:45:50','2016-07-12 03:45:50',1884,,,raw_message.mht,0712/014683059511808-gMrzm6,,,14884,,text/html
160712-000003,Incidentes,1327,,,'2016-07-12 07:45:48','2016-07-12 07:45:48',1889,,,raw_message.mht,0712/0146832034821524-xD34fp,,,20715,,text/html
160712-000003,Incidentes,1327,,,'2016-07-13 10:11:19','2016-07-13 10:11:19',2141,,,Póliza - NJI617.pdf,0713/0146841547943749-IIiukm,,,71166,,application/pdf
160712-000003,Incidentes,1327,,,'2016-07-13 10:11:19','2016-07-13 10:11:19',2142,,,Mercosur - NJI617.pdf,0713/1146841548043749-eEXEDb,,,73245,,application/pdf
160712-000003,Incidentes,1327,,,'2016-07-13 10:11:19','2016-07-13 10:11:19',2143,,,Cláusulas - NJI617.pdf,0713/2146841548043749-e46Q52,,,149845,,application/pdf
160712-000003,Incidentes,1327,,,'2016-07-13 10:11:19','2016-07-13 10:11:19',2144,,,Certificado cobertura - NJI617.pdf,0713/3146841548043749-HPHCKX,,,68354,,application/pdf
160712-000004,Incidentes,1328,,,'2016-07-12 07:45:48','2016-07-12 07:45:48',1890,,,raw_message.mht,0712/0146832034821539-wQZvgO,,,34667,,text/html
160712-000009,Incidentes,1331,,,'2016-07-12 08:45:47','2016-07-12 08:45:47',1891,,,raw_message.mht,0712/014683239471795-ml2q6X,,,24742,,text/html
160712-000013,Incidentes,1333,,,'2016-07-12 09:15:54','2016-07-12 09:15:54',1892,,,DEBITO QBE JULIO.png,0712/0146832575419614-ZUbLan,,,7891,,image/png
160712-000013,Incidentes,1333,,,'2016-07-12 09:15:54','2016-07-12 09:15:54',1893,,,raw_message.mht,0712/1146832575419614-mOsZzj,,,26148,,text/html
160712-000014,Incidentes,1334,,,'2016-07-12 09:15:54','2016-07-12 09:15:54',1894,,,raw_message.mht,0712/0146832575419635-QQQ9ca,,,10589,,text/html
160712-000015,Incidentes,1335,,,'2016-07-12 09:15:56','2016-07-12 09:15:56',1896,,,raw_message.mht,0712/0146832575619763-Qswj0b,,,38362,,text/html
160712-000023,Incidentes,1340,,,'2016-07-12 09:30:56','2016-07-12 09:30:56',1897,,,raw_message.mht,0712/014683266578305-1V7m78,,,10530,,text/html
160712-000021,Incidentes,1341,,,'2016-07-12 09:45:11','2016-07-12 09:45:11',1898,,,IAF4663.pdf,0712/0146832751116371-miGJlI,,,73260,,application/pdf
160712-000021,Incidentes,1341,,,'2016-07-12 09:45:11','2016-07-12 09:45:11',1899,,,IAF4662.pdf,0712/1146832751216371-5Pxhgq,,,122320,,application/pdf
160712-000021,Incidentes,1341,,,'2016-07-12 09:45:11','2016-07-12 09:45:11',1900,,,IAF4661.pdf,0712/2146832751216371-Ak5yj9,,,74989,,application/pdf
160712-000031,Incidentes,1344,,,'2016-07-12 09:45:51','2016-07-12 09:45:51',1901,,,raw_message.mht,0712/0146832755231303-KOhy73,,,11209,,text/html
160712-000032,Incidentes,1345,,,'2016-07-12 09:45:51','2016-07-12 09:45:51',1902,,,raw_message.mht,0712/0146832755231320-kmABXo,,,10959,,text/html
160712-000032,Incidentes,1345,,,'2016-07-13 15:32:44','2016-07-13 15:32:44',2232,,,Julio.pdf,0713/0146843476412868-YZ8TEI,,,46602,,application/pdf
160712-000032,Incidentes,1345,,,'2016-07-13 15:32:44','2016-07-13 15:32:44',2233,,,Agosto.pdf,0713/1146843476412868-PSNgza,,,46600,,application/pdf
160712-000033,Incidentes,1346,,,'2016-07-12 09:45:53','2016-07-12 09:45:53',1903,,,raw_message.mht,0712/0146832755431436-Pv0H1q,,,15522,,text/html
160712-000038,Incidentes,1352,,,'2016-07-12 10:01:00','2016-07-12 10:01:00',1904,,,raw_message.mht,0712/0146832846112478-O6yB9D,,,10157,,text/html
160712-000039,Incidentes,1353,,,'2016-07-12 10:01:01','2016-07-12 10:01:01',1905,,,raw_message.mht,0712/0146832846112489-AeGLjX,,,10750,,text/html
160712-000068,Incidentes,1369,,,'2016-07-12 10:45:56','2016-07-12 10:45:56',1913,,,raw_message.mht,0712/0146833115616271-mcrClo,,,10178,,text/html
160712-000068,Incidentes,1369,,,'2016-07-13 17:27:06','2016-07-13 17:27:06',2289,,,Mercosur - KBM364.pdf,0713/0146844162629879-iBW5PC,,,73066,,application/pdf
160712-000068,Incidentes,1369,,,'2016-07-13 17:27:06','2016-07-13 17:27:06',2290,,,Certificado de Cobertura - KBM364.pdf,0713/1146844162629879-cjmPtM,,,68302,,application/pdf
160712-000069,Incidentes,1370,,,'2016-07-12 10:45:56','2016-07-12 10:45:56',1914,,,raw_message.mht,0712/0146833115716282-A5T2cy,,,27542,,text/html
160712-000070,Incidentes,1371,,,'2016-07-12 10:45:57','2016-07-12 10:45:57',1915,,,raw_message.mht,0712/0146833115816379-b63t2A,,,10672,,text/html
160712-000076,Incidentes,1378,,,'2016-07-12 11:01:02','2016-07-12 11:01:02',1923,,,raw_message.mht,0712/0146833206232651-ygHuZ2,,,24364,,text/html
160712-000077,Incidentes,1379,,,'2016-07-12 11:01:03','2016-07-12 11:01:03',1925,,,raw_message.mht,0712/014683320641442-fnk4J8,,,23842,,text/html
160712-000077,Incidentes,1379,,,'2016-07-13 16:22:24','2016-07-13 16:22:24',2248,,,Certificado de Cobertura - JSB819.pdf,0713/0146843774516181-TAPbk0,,,68342,,application/pdf
160712-000077,Incidentes,1379,,,'2016-07-13 16:22:24','2016-07-13 16:22:24',2249,,,Clausulas - JSB819.pdf,0713/1146843774516181-1advJ2,,,122353,,application/pdf
160712-000077,Incidentes,1379,,,'2016-07-13 16:22:24','2016-07-13 16:22:24',2250,,,Clausulas Generales - JSB819.pdf,0713/2146843774516181-tdLuU7,,,78678,,application/pdf
160712-000077,Incidentes,1379,,,'2016-07-13 16:22:24','2016-07-13 16:22:24',2251,,,Mercosur - JSB819.pdf,0713/3146843774516181-fGQgue,,,73282,,application/pdf
160712-000077,Incidentes,1379,,,'2016-07-13 16:22:24','2016-07-13 16:22:24',2252,,,Poliza - JSB819.pdf,0713/4146843774516181-Ym9brm,,,75243,,application/pdf
160712-000078,Incidentes,1380,,,'2016-07-12 11:01:05','2016-07-12 11:01:05',1927,,,raw_message.mht,0712/014683320662536-V59ETv,,,29815,,text/html
160712-000078,Incidentes,1380,,,'2016-07-13 13:57:28','2016-07-13 13:57:28',2206,,,Póliza - NAW469.pdf,0713/014684290487927-mlkhEe,,,71123,,application/pdf
160712-000078,Incidentes,1380,,,'2016-07-13 13:57:28','2016-07-13 13:57:28',2207,,,Mercosur - NAW469.pdf,0713/114684290487927-ubsi1D,,,73240,,application/pdf
160712-000078,Incidentes,1380,,,'2016-07-13 13:57:28','2016-07-13 13:57:28',2208,,,Cláusulas - NAW469.pdf,0713/214684290487927-yhA954,,,149775,,application/pdf
160712-000078,Incidentes,1380,,,'2016-07-13 13:57:28','2016-07-13 13:57:28',2209,,,Certificado cobertura - NAW469.pdf,0713/314684290487927-TPXx1y,,,68347,,application/pdf
160712-000087,Incidentes,1388,,,'2016-07-12 11:15:59','2016-07-12 11:15:59',1932,,,raw_message.mht,0712/0146833296012024-9H4LFz,,,38096,,text/html
160712-000088,Incidentes,1389,,,'2016-07-12 11:15:58','2016-07-12 11:15:58',1933,,,raw_message.mht,0712/0146833296012037-HtcTDw,,,32552,,text/html
160712-000095,Incidentes,1391,,,'2016-07-12 11:30:54','2016-07-12 11:30:54',1935,,,escaneo0166.pdf,0712/0146833385520914-UJ6wbx,,,81301,,application/pdf
160712-000095,Incidentes,1391,,,'2016-07-12 11:30:54','2016-07-12 11:30:54',1936,,,raw_message.mht,0712/1146833385520914-a6JNxJ,,,170306,,text/html
160712-000096,Incidentes,1392,,,'2016-07-12 11:30:54','2016-07-12 11:30:54',1937,,,raw_message.mht,0712/0146833385520927-AyYt6U,,,14329,,text/html
160712-000096,Incidentes,1392,,,'2016-07-13 14:48:02','2016-07-13 14:48:02',2220,,,Junio - KIM678.pdf,0713/0146843208327437-3N4mVI,,,46611,,application/pdf
160712-000096,Incidentes,1392,,,'2016-07-13 14:48:02','2016-07-13 14:48:02',2221,,,Julio - KIM678.pdf,0713/1146843208327437-vSRx59,,,46607,,application/pdf
160712-000103,Incidentes,1397,,,'2016-07-12 11:45:58','2016-07-12 11:45:58',1947,,,raw_message.mht,0712/0146833475822822-eIIwF2,,,15377,,text/html
160712-000104,Incidentes,1398,,,'2016-07-12 11:45:58','2016-07-13 14:10:00',1948,,,IVA.pdf,0712/0146833475922813-dJmK8t,,,62918,,application/pdf
160712-000104,Incidentes,1398,,,'2016-07-12 11:45:58','2016-07-12 11:45:58',1949,,,raw_message.mht,0712/1146833475922813-WF40RK,,,267013,,text/html
160712-000107,Incidentes,1401,,,'2016-07-12 12:01:03','2016-07-12 12:01:03',1957,,,raw_message.mht,0712/0146833566427751-ezlRGm,,,10701,,text/html
160712-000108,Incidentes,1402,,,'2016-07-12 12:01:04','2016-07-12 12:01:04',1958,,,Siniestro Olleros 2563.pdf,0712/0146833566428392-ONZzTz,,,347539,,application/pdf
160712-000108,Incidentes,1402,,,'2016-07-12 12:01:04','2016-07-12 12:01:04',1959,,,raw_message.mht,0712/1146833566528392-HFsmtM,,,492730,,text/html
160712-000109,Incidentes,1403,,,'2016-07-12 12:01:07','2016-07-12 12:01:07',1960,,,raw_message.mht,0712/0146833566831565-yT7oEC,,,10461,,text/html
160712-000110,Incidentes,1404,,,'2016-07-12 12:01:09','2016-07-12 12:01:09',1961,,,raw_message.mht,0712/0146833566931709-VpQ2Jf,,,10404,,text/html
160712-000117,Incidentes,1409,,,'2016-07-12 12:15:55','2016-07-12 12:15:55',1962,,,raw_message.mht,0712/0146833655611807-XIM9gQ,,,16615,,text/html
160712-000125,Incidentes,1413,,,'2016-07-12 12:30:58','2016-07-12 12:30:58',1969,,,raw_message.mht,0712/0146833745928223-onmss9,,,10199,,text/html
160712-000126,Incidentes,1414,,,'2016-07-12 12:30:58','2016-07-12 12:30:58',1970,,,raw_message.mht,0712/0146833745928211-zqaLKG,,,97870,,text/html
160712-000127,Incidentes,1415,,,'2016-07-12 12:31:01','2016-07-12 12:31:01',1972,,,64000027_12-07-2016_09-02-40.pdf,0712/0146833746228362-BQjxbz,,,38169,,application/pdf
160712-000127,Incidentes,1415,,,'2016-07-12 12:31:01','2016-07-12 12:31:01',1973,,,raw_message.mht,0712/1146833746228362-FuzCEy,,,83502,,text/html
160712-000133,Incidentes,1419,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1975,,,raw_message.mht,0712/0146833836112805-eubNlD,,,26228,,text/html
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1976,,,0000948753_000003_13187450__PLANPAGO.pdf,0712/0146833836112791-DZCTFv,,,65043,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1977,,,0000948753_000003_13187450__FRENPOLI.pdf,0712/1146833836112791-OXqR3J,,,76295,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1978,,,0000948753_000003_13187450__CLAUSULA.pdf,0712/2146833836112791-7LcYsY,,,150833,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1979,,,0000948753_000003_13187450__CHEQUERA.pdf,0712/3146833836112791-M5CVSc,,,74195,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1980,,,0000948753_000002_13180301__PLANPAGO.pdf,0712/4146833836112791-J8KFjr,,,64938,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1981,,,0000948753_000002_13180301__FRENPOLI.pdf,0712/5146833836112791-0v3fMF,,,76228,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1982,,,0000948753_000000_12346720__PLANPAGO.pdf,0712/6146833836112791-FpkzfU,,,65052,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1983,,,0000948753_000000_12346720__FRENPOLI.pdf,0712/7146833836212791-EU6GJ8,,,101551,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1984,,,0000948753_000000_12346720__CLAUSULA.pdf,0712/8146833836212791-uubVen,,,161069,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1985,,,0000948753_000000_12346720__CHEQUERA.pdf,0712/9146833836212791-t493KB,,,85804,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1986,,,0000948753_000000_001318745_MERCOSUR.pdf,0712/10146833836212791-XhYUhQ,,,73286,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1987,,,0000948753_000000_001234672_MERCOSUR.pdf,0712/11146833836212791-fSxPP4,,,163394,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1988,,,0000948753_000000_00AUMENTO_MERCOSUR.pdf,0712/12146833836212791-bBLLoj,,,108237,,application/pdf
160712-000134,Incidentes,1420,,,'2016-07-12 12:46:00','2016-07-12 12:46:00',1989,,,raw_message.mht,0712/13146833836212791-0zY4yy,,,1791484,,text/html
160712-000135,Incidentes,1421,,,'2016-07-12 12:46:04','2016-07-12 12:46:04',1992,,,raw_message.mht,0712/0146833836413844-8jaxSH,,,105592,,text/html
160712-000136,Incidentes,1422,,,'2016-07-12 12:46:06','2016-07-12 12:46:06',1993,,,raw_message.mht,0712/0146833836615371-iwLat6,,,10512,,text/html
160712-000137,Incidentes,1423,,,'2016-07-12 12:46:08','2016-07-12 12:46:08',1994,,,raw_message.mht,0712/0146833836816867-0GXPOs,,,14625,,text/html
160712-000142,Incidentes,1427,,,'2016-07-12 13:01:07','2016-07-12 13:01:07',1995,,,raw_message.mht,0712/0146833926822111-F0DurB,,,13138,,text/html
160712-000154,Incidentes,1432,,,'2016-07-12 13:15:53','2016-07-12 13:15:53',1997,,,raw_message.mht,0712/0146834015415009-W3TVTD,,,20799,,text/html
160712-000154,Incidentes,1432,,,'2016-07-13 17:56:14','2016-07-13 17:56:14',2296,,,Póliza - MZX180.pdf,0713/0146844337441739-VR5D4p,,,72705,,application/pdf
160712-000154,Incidentes,1432,,,'2016-07-13 17:56:14','2016-07-13 17:56:14',2297,,,Mercosur - MZX180.pdf,0713/1146844337541739-WNkAb5,,,73263,,application/pdf
160712-000154,Incidentes,1432,,,'2016-07-13 17:56:14','2016-07-13 17:56:14',2298,,,Cláusulas - MZX180.pdf,0713/2146844337541739-fEDtPK,,,150698,,application/pdf
160712-000154,Incidentes,1432,,,'2016-07-13 17:56:14','2016-07-13 17:56:14',2299,,,Certificado cobertura - MZX180.pdf,0713/3146844337541739-nfooNr,,,68571,,application/pdf
160712-000155,Incidentes,1433,,,'2016-07-12 13:15:54','2016-07-12 13:15:54',1998,,,raw_message.mht,0712/0146834015415024-0W9HcV,,,29752,,text/html
160712-000157,Incidentes,1436,,,'2016-07-12 13:30:57','2016-07-12 13:30:57',2005,,,raw_message.mht,0712/0146834105718090-P0YnU2,,,82517,,text/html
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2268,,,Póliza - MSY208.pdf,0713/014684399841635-bTpq5U,,,73331,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2269,,,Mercosur - MSY208.pdf,0713/114684399841635-QHJeo4,,,73251,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2270,,,Junio.pdf,0713/214684399841635-1aElhe,,,46542,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2271,,,Julio.pdf,0713/314684399851635-QknRIo,,,46650,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2272,,,Cláusulas generales - MSY208.pdf,0713/414684399851635-Vd2Btz,,,78664,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2273,,,Cláusulas - MSY208.pdf,0713/514684399851635-LSd22K,,,120349,,application/pdf
160712-000157,Incidentes,1436,,,'2016-07-13 16:59:44','2016-07-13 16:59:44',2274,,,Certificado cobertura - MSY208.pdf,0713/614684399851635-CkfBvX,,,68280,,application/pdf
160712-000176,Incidentes,1447,,,'2016-07-12 14:01:01','2016-07-12 14:01:01',2013,,,raw_message.mht,0712/0146834286121003-aEQBuQ,,,10518,,text/html
160712-000176,Incidentes,1447,,,'2016-07-13 15:35:13','2016-07-13 15:35:13',2234,,,poliza vigente..pdf,0713/0146843491330756-UJKvNm,,,78782,,application/pdf
160712-000177,Incidentes,1448,,,'2016-07-12 14:01:01','2016-07-12 14:01:01',2014,,,raw_message.mht,0712/0146834286221096-JeSZio,,,10313,,text/html
160712-000183,Incidentes,1453,,,'2016-07-12 14:15:55','2016-07-12 14:15:55',2022,,,raw_message.mht,0712/014683437566207-7zBbgD,,,33446,,text/html
160712-000189,Incidentes,1457,,,'2016-07-12 14:45:53','2016-07-12 14:45:53',2025,,,raw_message.mht,0712/014683455548970-ZsFNdI,,,80669,,text/html
160712-000190,Incidentes,1458,,,'2016-07-12 14:45:54','2016-07-12 14:45:54',2026,,,raw_message.mht,0712/014683455548986-khnoQ4,,,12061,,text/html
160712-000191,Incidentes,1459,,,'2016-07-12 14:45:56','2016-07-12 14:45:56',2030,,,raw_message.mht,0712/014683455579084-OtCLjH,,,36397,,text/html
160712-000205,Incidentes,1463,,,'2016-07-12 15:15:53','2016-07-12 15:15:53',2032,,,raw_message.mht,0712/0146834735425287-ig15DF,,,52572,,text/html
160712-000206,Incidentes,1464,,,'2016-07-12 15:15:54','2016-07-12 15:15:54',2034,,,raw_message.mht,0712/0146834735425318-Fgkj90,,,84112,,text/html
160712-000207,Incidentes,1465,,,'2016-07-12 15:15:56','2016-07-12 15:15:56',2035,,,raw_message.mht,0712/0146834735625462-8bx9bN,,,15366,,text/html
160712-000208,Incidentes,1466,,,'2016-07-12 15:15:57','2016-07-12 15:15:57',2036,,,raw_message.mht,0712/0146834735825529-uTlFX1,,,17473,,text/html
160712-000215,Incidentes,1468,,,'2016-07-12 15:30:56','2016-07-12 15:30:56',2041,,,raw_message.mht,0712/0146834825713597-j9sYfp,,,10684,,text/html
160712-000222,Incidentes,1469,,,'2016-07-12 15:45:52','2016-07-12 15:45:52',2047,,,raw_message.mht,0712/0146834915315833-9JOfcm,,,17081,,text/html
160712-000224,Incidentes,1470,,,'2016-07-12 16:01:00','2016-07-12 16:01:00',2049,,,raw_message.mht,0712/014683500601465-OArieY,,,10556,,text/html
160712-000224,Incidentes,1470,,,'2016-07-14 10:04:21','2016-07-14 10:04:21',2347,,,Certificado de Cobertura - ITF661.pdf,0714/0146850146128609-8NXoOj,,,68336,,application/pdf
160712-000224,Incidentes,1470,,,'2016-07-14 10:04:21','2016-07-14 10:04:21',2348,,,Mercosur - ITF661.pdf,0714/1146850146128609-7ozY1n,,,73083,,application/pdf
160712-000233,Incidentes,1472,,,'2016-07-12 16:16:00','2016-07-12 16:16:00',2052,,,raw_message.mht,0712/0146835096126242-HDV39F,,,10490,,text/html
160712-000234,Incidentes,1473,,,'2016-07-12 16:16:01','2016-07-12 16:16:01',2053,,,raw_message.mht,0712/0146835096226286-2XYAOy,,,39508,,text/html
160712-000241,Incidentes,1475,,,'2016-07-12 16:30:55','2016-07-12 16:30:55',2056,,,2.pdf,0712/014683518565899-ixsaZh,,,64884,,application/pdf
160712-000241,Incidentes,1475,,,'2016-07-12 16:30:55','2016-07-12 16:30:55',2057,,,3.pdf,0712/114683518575899-DTq4Af,,,73245,,application/pdf
160712-000241,Incidentes,1475,,,'2016-07-12 16:30:55','2016-07-12 16:30:55',2058,,,1.pdf,0712/214683518575899-p9iMdd,,,76320,,application/pdf
160712-000241,Incidentes,1475,,,'2016-07-12 16:30:55','2016-07-12 16:30:55',2059,,,Certificado_HXT-153_14999286.pdf,0712/314683518575899-yoCP6a,,,1481268,,application/pdf
160712-000241,Incidentes,1475,,,'2016-07-12 16:30:55','2016-07-12 16:30:55',2060,,,raw_message.mht,0712/414683518575899-iaupB8,,,2362751,,text/html
160712-000242,Incidentes,1476,,,'2016-07-12 16:30:56','2016-07-12 16:30:56',2061,,,image001.png,0712/014683518575919-O3nsSh,,,10890,,image/png
160712-000242,Incidentes,1476,,,'2016-07-12 16:30:56','2016-07-12 16:30:56',2062,,,image001.png,0712/114683518575919-3NytPf,,,10890,,image/png
160712-000242,Incidentes,1476,,,'2016-07-12 16:30:56','2016-07-12 16:30:56',2063,,,raw_message.mht,0712/214683518575919-U4bjEf,,,77537,,text/html
160712-000242,Incidentes,1476,,,'2016-07-13 16:18:19','2016-07-13 16:18:19',2246,,,GR17160B_318588_000001.pdf,0713/0146843749940947-eziBJr,,,78913,,application/pdf
160712-000243,Incidentes,1477,,,'2016-07-12 16:30:58','2016-07-12 16:30:58',2064,,,raw_message.mht,0712/014683518586012-WmRRUf,,,28352,,text/html
160712-000246,Incidentes,1480,,,'2016-07-12 16:45:57','2016-07-12 16:45:57',2071,,,raw_message.mht,0712/0146835275711602-pcfRVd,,,14545,,text/html
160712-000251,Incidentes,1484,,,'2016-07-12 17:15:59','2016-07-12 17:15:59',2072,,,raw_message.mht,0712/014683545598615-09FDzX,,,28949,,text/html
160712-000252,Incidentes,1485,,,'2016-07-12 17:15:59','2016-07-12 17:15:59',2073,,,IMG_20160712_133757468.jpg,0712/014683545608659-A22b6y,,,1604123,,image/jpeg
160712-000252,Incidentes,1485,,,'2016-07-12 17:15:59','2016-07-12 17:15:59',2074,,,raw_message.mht,0712/114683545608659-9b6G52,,,2207411,,text/html
160712-000253,Incidentes,1486,,,'2016-07-12 17:16:02','2016-07-12 17:16:02',2075,,,raw_message.mht,0712/014683545628916-YF7gaK,,,44160,,text/html
160712-000253,Incidentes,1486,,,'2016-07-14 10:13:30','2016-07-14 10:13:30',2349,,,Póliza - JBA198.PDF,0714/0146850201014155-g3WnLO,,,71222,,application/pdf
160712-000253,Incidentes,1486,,,'2016-07-14 10:13:30','2016-07-14 10:13:30',2350,,,Mercosur - JBA198.PDF,0714/1146850201114155-0CaQ98,,,73083,,application/pdf
160712-000253,Incidentes,1486,,,'2016-07-14 10:13:30','2016-07-14 10:13:30',2351,,,Cláusulas - JBA198.PDF,0714/2146850201114155-w0aM9t,,,150773,,application/pdf
160712-000253,Incidentes,1486,,,'2016-07-14 10:13:30','2016-07-14 10:13:30',2352,,,Certificado cobertura - JBA198.PDF,0714/3146850201114155-Dmn0mQ,,,68392,,application/pdf
160712-000255,Incidentes,1488,,,'2016-07-12 17:31:01','2016-07-12 17:31:01',2077,,,raw_message.mht,0712/0146835546223596-BMb64C,,,13606,,text/html
160712-000258,Incidentes,1490,,,'2016-07-12 17:45:57','2016-07-12 17:45:57',2081,,,raw_message.mht,0712/014683563587022-5sD5C1,,,33168,,text/html
160712-000261,Incidentes,1492,,,'2016-07-12 18:15:56','2016-07-12 18:15:56',2093,,,raw_message.mht,0712/0146835815720799-rW2iY3,,,35744,,text/html
160712-000261,Incidentes,1492,,,'2016-07-15 11:52:30','2016-07-15 11:52:30',2517,,,Cupon de pago - Castro Iglesias.pdf,0715/0146859435032592-tHmlQu,,,46597,,application/pdf
160712-000262,Incidentes,1493,,,'2016-07-12 19:00:58','2016-07-12 19:00:58',2097,,,raw_message.mht,0712/014683608586857-6s5AcS,,,24122,,text/html
160712-000262,Incidentes,1493,,,'2016-07-15 12:52:14','2016-07-15 12:52:14',2530,,,Pasteris Cuellar - Certif Cobertura.pdf,0715/0146859793432556-HuGDJM,,,68297,,application/pdf
160712-000263,Incidentes,1494,,,'2016-07-12 19:15:59','2016-07-12 19:15:59',2099,,,raw_message.mht,0712/014683617609348-Fcu6Gf,,,80338,,text/html
160712-000264,Incidentes,1495,,,'2016-07-12 19:15:59','2016-07-12 19:15:59',2100,,,raw_message.mht,0712/014683617609371-EjLJha,,,29462,,text/html
160712-000264,Incidentes,1495,,,'2016-07-15 14:12:03','2016-07-15 14:12:03',2539,,,Tartaglini - Póliza HOM.pdf,0715/0146860272318761-yCC2G0,,,292829,,application/pdf
160712-000265,Incidentes,1496,,,'2016-07-12 19:30:54','2016-07-12 19:30:54',2101,,,raw_message.mht,0712/0146836265529991-TaZsrb,,,14069,,text/html
160712-000265,Incidentes,1496,,,'2016-07-15 11:23:26','2016-07-15 11:23:26',2513,,,Certif Cobertura - Chevrolet Spark IGT770.pdf,0715/014685926063066-XmjezH,,,68262,,application/pdf
160712-000265,Incidentes,1496,,,'2016-07-15 11:23:26','2016-07-15 11:23:26',2514,,,Certif Cobertura - Nissan Note AA204JG.pdf,0715/114685926063066-fgn4fr,,,68302,,application/pdf
160712-000266,Incidentes,1497,,,'2016-07-12 19:30:54','2016-07-12 19:30:54',2102,,,raw_message.mht,0712/0146836265530004-IyYuGM,,,16283,,text/html
160712-000267,Incidentes,1498,,,'2016-07-12 20:15:55','2016-07-12 20:15:55',2104,,,raw_message.mht,0712/0146836535531076-jlnEgZ,,,74520,,text/html
160712-000268,Incidentes,1499,,,'2016-07-12 20:15:55','2016-07-12 20:15:55',2105,,,raw_message.mht,0712/0146836535631106-qcg8VW,,,10118,,text/html
160712-000269,Incidentes,1500,,,'2016-07-12 20:30:55','2016-07-12 20:30:55',2106,,,raw_message.mht,0712/014683662562260-JrnFWA,,,25953,,text/html
160712-000270,Incidentes,1501,,,'2016-07-12 20:45:51','2016-07-12 20:45:51',2108,,,raw_message.mht,0712/0146836715329094-hvQl7t,,,43327,,text/html
